participant_id	session_id	task	run	desc	regressors	space	meanFD	relMeansRMSMotion	relMaxRMSMotion	meanDVInit	meanDVFinal	nVolCensored	nVolsRemoved	motionDVCorrInit	motionDVCorrFinal	coregDice	coregJaccard	coregCrossCorr	coregCoverage	normDice	normJaccard	normCrossCorr	normCoverage	medianFD	motionExclude	normCrossCorrExclude	fmriExclude
colornest042	1	rest	02	preproc	template_res-derivative_36-parameter	MNI152	0.2735457157142856	0.4889136829157244	3.3522565796489983	34.604942436464086	34.604942436464086	0	2	0.8413683182411741	0.8413683182411741	0.8976219597812277	0.8142596523449345	0.8829649542533304	0.9210608907460563	0.9124987868850444	0.8390784082634283	0.8823613761635849	0.9339436517201052	0.089119	0	0	0
colornest042	1	rest	01	preproc	template_res-derivative_36-parameter	MNI152	0.2439120142857142	0.4290430435805709	4.108763413138922	30.879965292817683	30.879965292817683	0	2	0.9032872119907084	0.9032872119907084	0.8983913939933611	0.8155268478248862	0.8838586055369685	0.922612079273094	0.9123119177930082	0.8387624473570275	0.8821121150954074	0.933009457417541	0.0558286	0	0	0
colornest169	1	rest	01	preproc	template_res-derivative_36-parameter	MNI152	0.0238516262087912	0.2512028094827637	0.5276439009644668	15.290711950276242	15.290711950276242	0	2	0.5194884452505979	0.5194884452505979	0.9352588896748284	0.8783908882687931	0.9272570975521536	0.9447779690788262	0.9474715787965052	0.9001862179770271	0.9300428942994	0.9581270340807856	0.019498	0	0	0
colornest169	1	rest	02	preproc	template_res-derivative_36-parameter	MNI152	0.0229897499450549	0.1102235691737404	0.2144176327036794	18.29780743646409	18.29780743646409	0	2	0.0410140583646449	0.0410140583646449	0.9399217642352128	0.886653204003487	0.9324302000810544	0.945749919960828	0.9505969947077568	0.9058455044571078	0.934100272836053	0.958462772657074	0.0217881	0	0	0
colornest033	1	rest	02	preproc	template_res-derivative_36-parameter	MNI152	0.2811740494505494	0.9910856267297724	2.2039672083688084	31.32108731491712	31.32108731491712	0	2	0.8006744308475424	0.8006744308475424	0.8945046748202734	0.8091437878082829	0.8793278333285218	0.937286284402526	0.9125896545782743	0.8392320878870696	0.8827145509296733	0.9522001178825148	0.190705	0	0	0
colornest033	1	rest	01	preproc	template_res-derivative_36-parameter	MNI152	0.1214186704945054	0.559249825062714	1.5070031763101963	25.83746722099448	25.83746722099448	0	2	0.7838111768712979	0.7838111768712979	0.8813365573712627	0.7878478224873585	0.8638943793747402	0.916888846665144	0.9004351311571244	0.8189013278540764	0.8661075181110488	0.9352702404661012	0.0663378	0	0	0
colornest153	1	rest	01	preproc	template_res-derivative_36-parameter	MNI152	0.0414873432417582	0.1688650370000779	0.3830432505007234	20.046367287292817	20.046367287292817	0	2	0.5146573900469967	0.5146573900469967	0.904543398912485	0.8257227150893054	0.8905885761338312	0.9236184117498786	0.9176690878769036	0.847863696396518	0.8908012843941374	0.9359237433194032	0.034589	0	0	0
colornest153	1	rest	02	preproc	template_res-derivative_36-parameter	MNI152	0.028555629065934	0.0860196978852141	0.1559819296939873	20.48993833149171	20.48993833149171	0	2	0.4488096381256378	0.4488096381256378	0.9053052292083206	0.8269932892376997	0.8914048935903064	0.9229999611785116	0.9169872852621276	0.8467003875241399	0.8897784209306551	0.9335674170046364	0.024541	0	0	0
colornest099	1	rest	01	preproc	template_res-derivative_36-parameter	MNI152	0.0661136006043956	0.3140501458072512	0.6450285745810026	20.960352430939224	20.960352430939224	0	2	0.2128081062470633	0.2128081062470633	0.9190655541057952	0.8502509635036163	0.9095537495551468	0.9255895406219984	0.93250837667789	0.873551001529977	0.9095293319709772	0.9364698619723814	0.0590523	0	0	0
colornest099	1	rest	02	preproc	template_res-derivative_36-parameter	MNI152	0.0784042736263736	0.1975683366908808	0.3799813987682029	21.86184493922652	21.86184493922652	0	2	0.1177276098119423	0.1177276098119423	0.9203927346494984	0.8525255101452904	0.91110099202865	0.9218985845432018	0.9345157043084048	0.8770806928710482	0.9124446136891444	0.937773339681868	0.0734774	0	0	0
colornest038	1	rest	01	preproc	template_res-derivative_36-parameter	MNI152	0.1599626175824176	0.9523949164827152	1.957436908866378	21.76884552486188	21.76884552486188	0	2	0.7557503855518869	0.7557503855518869	0.8896351963895726	0.8012098307663054	0.8710161698202611	0.8957100341573946	0.90462957833612	0.8258663557502105	0.8722091082863336	0.9070982896089902	0.107833	0	0	0
colornest038	1	rest	02	preproc	template_res-derivative_36-parameter	MNI152	0.1170595626373626	0.1917165261084966	1.1814595760618685	25.055453325966848	25.055453325966848	0	2	0.8695428946558148	0.8695428946558148	0.8863243131426303	0.7958549545457961	0.8671058717185416	0.8952921254402535	0.9011031324998046	0.8200070080731615	0.8674016849370882	0.9054657754879892	0.073741	0	0	0
colornest034	1	rest	02	preproc	template_res-derivative_36-parameter	MNI152	0.0489766360989011	0.3446903329901157	0.8147126087124281	18.942434248618788	18.942434248618788	0	2	0.1541353864179771	0.1541353864179771	0.9305027533301964	0.87003753981377	0.9225039663344832	0.9387673195240878	0.9413458217742718	0.8891910513704658	0.9218437182818968	0.9513191544535156	0.0351013	0	0	0
colornest034	1	rest	01	preproc	template_res-derivative_36-parameter	MNI152	0.0425215843406593	0.2380401437584327	0.5121342252336686	19.67601018232044	19.67601018232044	0	2	0.5442164330223156	0.5442164330223156	0.9298957999071124	0.8689768714358802	0.9218007929866404	0.9368241124232992	0.939032123678883	0.8850712115195764	0.9186886747151592	0.9474722781808782	0.0304131	0	0	0
colornest046	1	rest	01	preproc	template_res-derivative_36-parameter	MNI152	0.0474902306043956	0.4465380298511017	0.775231222052492	15.403235408839777	15.403235408839777	0	2	0.1621147054777102	0.1621147054777102	0.907622695448785	0.8308692350777708	0.895461525818325	0.9081048917468736	0.9256838815344788	0.861649439698123	0.9005818436293933	0.927621860340378	0.0393377	0	0	0
colornest046	1	rest	02	preproc	template_res-derivative_36-parameter	MNI152	0.0346080062087912	0.1134608131338399	0.3056595597869629	21.61985619337017	21.61985619337017	0	2	0.3985342530548984	0.3985342530548984	0.9109815440373942	0.8365161665071679	0.8992069075560637	0.9170511723072426	0.9265596070054458	0.8631681955070108	0.9016209380414948	0.9282930622801674	0.0302495	0	0	0
colornest114	1	rest	01	preproc	template_res-derivative_36-parameter	MNI152	0.0637555203296703	0.3705032954833363	0.8694184145697629	19.484584900552484	19.484584900552484	0	2	0.4209661955886568	0.4209661955886568	0.9014569240375548	0.8205931508400606	0.8871577658871752	0.9060463639992332	0.9157659799787108	0.8446202231882831	0.8871646672324003	0.9173990542035186	0.0531285	0	0	0
colornest114	1	rest	02	preproc	template_res-derivative_36-parameter	MNI152	0.0582898236263736	0.1331816826875715	0.4536869953913601	21.81775686187845	21.81775686187845	0	2	0.5517760855263886	0.5517760855263886	0.9004473127033337	0.8189214788034865	0.8859675553991655	0.9088219108815864	0.9156029586231832	0.8443429147138556	0.8868156060820581	0.9209678187301852	0.044809	0	0	0
